Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2026-04-22,Apple Health App Workout,Cardio,77.7,8,,,,,
2026-04-23,"""Strength training (weight lifting, weight training)""",Cardio,635.5,72,,,,,
2026-04-24,"""Stair-treadmill ergometer, general""",Cardio,341.8,24,,,,,
2026-04-24,"""Strength training (weight lifting, weight training)""",Cardio,432.4,40,,,,,
2026-04-25,"""Circuit training, general""",Cardio,688.7,57,,,,,
2026-04-26,Brazilian Jiu Jitsu,Cardio,500.0,50,,,,,
2026-04-27,Brazilian Jiu Jitsu,Cardio,500.0,50,,,,,
2026-04-28,"""Strength training (weight lifting, weight training)""",Cardio,612.5,57,,,,,
2026-04-28,Apple Health App Workout,Cardio,51.2,6,,,,,
2026-04-29,"""Strength training (weight lifting, weight training)""",Cardio,430.9,40,,,,,
2026-04-29,"""Walking, 2.0 mph, slow pace""",Cardio,71.4,18,,,,,
2026-04-29,"""Walking, 2.0 mph, slow pace""",Cardio,228.5,53,,,,,
2026-04-30,"""Strength training (weight lifting, weight training)""",Cardio,461.4,63,,,,,
2026-05-01,"""Stair-treadmill ergometer, general""",Cardio,172.8,15,,,,,
2026-05-02,Yoga,Cardio,417.0,53,,,,,
2026-05-04,"""Strength training (weight lifting, weight training)""",Cardio,344.5,39,,,,,
2026-05-05,"""Strength training (weight lifting, weight training)""",Cardio,617.8,50,,,,,
2026-05-06,"""Strength training (weight lifting, weight training)""",Cardio,476.3,40,,,,,
2026-05-06,"""Walking, 2.0 mph, slow pace""",Cardio,197.9,37,,,,,
2026-05-06,"""Walking, 2.5 mph, leisurely pace""",Cardio,65.6,15,,,,,
2026-05-06,Apple Health App Workout,Cardio,128.0,13,,,,,
2026-05-07,"""Strength training (weight lifting, weight training)""",Cardio,512.9,49,,,,,
2026-05-07,"""Walking, 2.0 mph, slow pace""",Cardio,43.6,15,,,,,
2026-05-09,Yoga,Cardio,404.3,51,,,,,
2026-05-10,"""Running (jogging), 6.7 mph (9 min mile)""",Cardio,188.5,13,,,,,
2026-05-10,"""Strength training (weight lifting, weight training)""",Cardio,138.1,15,,,,,
2026-05-10,"""Walking, 2.0 mph, slow pace""",Cardio,97.8,26,,,,,
2026-05-10,"""Walking, 2.0 mph, slow pace""",Cardio,96.4,25,,,,,
2026-05-10,Elliptical Trainer,Cardio,32.6,2,,,,,
2026-05-11,"""Strength training (weight lifting, weight training)""",Cardio,406.3,52,,,,,
2026-05-12,"""Strength training (weight lifting, weight training)""",Cardio,381.9,50,,,,,
2026-05-13,"""Strength training (weight lifting, weight training)""",Cardio,567.7,51,,,,,
2026-05-13,"""Walking, 2.0 mph, slow pace""",Cardio,99.4,26,,,,,
2026-05-15,"""Strength training (weight lifting, weight training)""",Cardio,269.3,28,,,,,
2026-05-15,"""Walking, 2.5 mph, leisurely pace""",Cardio,71.6,17,,,,,
2026-05-15,"""Walking, 2.5 mph, leisurely pace""",Cardio,56.2,15,,,,,
2026-05-16,"""Walking, 2.5 mph, leisurely pace""",Cardio,86.9,19,,,,,
2026-05-16,Yoga,Cardio,507.3,66,,,,,
2026-05-17,"""Walking, 2.5 mph, leisurely pace""",Cardio,256.4,57,,,,,
2026-05-17,Elliptical Trainer,Cardio,307.6,25,,,,,
2026-05-18,"""Strength training (weight lifting, weight training)""",Cardio,595.7,53,,,,,
2026-05-19,"""Strength training (weight lifting, weight training)""",Cardio,470.8,40,,,,,
2026-05-20,"""Strength training (weight lifting, weight training)""",Cardio,378.6,55,,,,,
2026-05-21,"""Strength training (weight lifting, weight training)""",Cardio,389.0,50,,,,,
2026-05-22,"""Strength training (weight lifting, weight training)""",Cardio,140.0,12,,,,,
2026-05-22,"""Strength training (weight lifting, weight training)""",Cardio,306.6,25,,,,,
2026-05-23,Yoga,Cardio,280.7,40,,,,,
2026-05-24,"""Running (jogging), 6 mph (10 min mile)""",Cardio,151.2,11,,,,,
2026-05-24,Elliptical Trainer,Cardio,108.6,9,,,,,
2026-05-25,"""Strength training (weight lifting, weight training)""",Cardio,473.5,44,,,,,
2026-05-26,"""Strength training (weight lifting, weight training)""",Cardio,503.0,53,,,,,
2026-05-27,Apple Health App Workout,Cardio,493.4,61,,,,,
2026-05-28,Apple Health App Workout,Cardio,521.4,62,,,,,
2026-05-29,"""Strength training (weight lifting, weight training)""",Cardio,399.0,38,,,,,
2026-05-29,"""Walking, 2.5 mph, leisurely pace""",Cardio,127.1,31,,,,,
2026-05-29,Apple Health App Workout,Cardio,34.9,4,,,,,
2026-05-30,"""Circuit training, general""",Cardio,556.5,51,,,,,
2026-05-30,"""Walking, 2.0 mph, slow pace""",Cardio,65.9,10,,,,,
2026-05-30,"""Walking, 2.5 mph, leisurely pace""",Cardio,171.2,36,,,,,
2026-05-31,"""Running (jogging), 6.7 mph (9 min mile)""",Cardio,423.6,30,,,,,
2026-05-31,"""Running (jogging), 6.7 mph (9 min mile)""",Cardio,62.7,4,,,,,
2026-06-01,Apple Health App Workout,Cardio,388.3,55,,,,,
2026-06-02,"""Walking, 2.0 mph, slow pace""",Cardio,41.7,13,,,,,
2026-06-02,"""Walking, 2.5 mph, leisurely pace""",Cardio,95.8,19,,,,,
2026-06-02,"""Walking, 2.5 mph, leisurely pace""",Cardio,49.6,14,,,,,
2026-06-02,Apple Health App Workout,Cardio,413.4,62,,,,,
2026-06-03,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,168.8,33,,,,,
2026-06-03,Apple Health App Workout,Cardio,413.5,62,,,,,
2026-06-04,"""Strength training (weight lifting, weight training)""",Cardio,557.5,46,,,,,
2026-06-05,"""Strength training (weight lifting, weight training)""",Cardio,330.3,52,,,,,
2026-06-05,"""Walking, 2.0 mph, slow pace""",Cardio,120.4,33,,,,,
2026-06-06,"""Strength training (weight lifting, weight training)""",Cardio,549.3,60,,,,,
2026-06-07,"""Running (jogging), 6 mph (10 min mile)""",Cardio,402.0,32,,,,,
2026-06-07,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,177.0,33,,,,,
2026-06-07,"""Walking, 3.5 mph, brisk pace""",Cardio,147.0,26,,,,,
2026-06-08,"""Strength training (weight lifting, weight training)""",Cardio,596.2,54,,,,,
2026-06-09,"""Strength training (weight lifting, weight training)""",Cardio,456.8,59,,,,,
2026-06-10,"""Strength training (weight lifting, weight training)""",Cardio,489.3,54,,,,,
2026-06-12,"""Strength training (weight lifting, weight training)""",Cardio,488.0,46,,,,,
2026-06-20,"""Strength training (weight lifting, weight training)""",Cardio,591.6,54,,,,,
2026-06-20,"""Walking, 2.0 mph, slow pace""",Cardio,103.9,24,,,,,
2026-06-20,"""Walking, 2.5 mph, leisurely pace""",Cardio,55.4,15,,,,,
2026-06-21,"""Running (jogging), 5 mph (12 min mile)""",Cardio,212.7,25,,,,,
2026-06-21,"""Walking, 2.5 mph, leisurely pace""",Cardio,159.2,28,,,,,
2026-06-22,"""Strength training (weight lifting, weight training)""",Cardio,647.2,57,,,,,
2026-06-22,"""Walking, 2.5 mph, leisurely pace""",Cardio,87.7,20,,,,,
2026-06-22,"""Walking, 2.5 mph, leisurely pace""",Cardio,151.2,23,,,,,
2026-06-22,Apple Health App Workout,Cardio,34.5,4,,,,,
